Comment,Designator,Footprint,LCSC Part Number
0.33u,C1,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
2.2u,C2,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
0.1u,C3,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
0.03u,C4,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
47u,C5,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
Screw_Terminal_01x02,J1,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",
Conn_01x01_Female,"J2,J6",Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm,
Conn_01x02_Female,"J4,J5",Connector_Wire:SolderWire-2.5sqmm_1x02_P7.2mm_D2.4mm_OD3.6mm,
PN2222A,"Q1,Q2",Package_TO_SOT_THT:TO-92_Inline,
100K,"R1,R4",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
820,R2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
6.8K,R3,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
L7809,U1,Package_TO_SOT_THT:TO-220-3_Vertical,
